iter	Passed	Remaining
0	0	81
1	1	74
2	2	70
3	2	68
4	3	68
5	4	69
6	5	68
7	5	67
8	6	67
9	7	66
10	8	66
11	9	66
12	9	66
13	10	66
14	11	65
15	12	64
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	51	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
